pH,Temperature,Rainfall,Soil Type,Recommended crop,Natural Fertilizer
4.2,-7,1012,Sandy,Watermelon,"Compost, Seaweed Fertilizer, Organic Matter"
8.2,20,1543,Clay,Cotton,"Compost, Green Manure, Gypsum"
7.7,45,1136,Loamy,Cabbage,"Well-rotted Manure, Compost, Mulch"
4.9,13,1488,Peaty,Cotton,"Compost, Bone Meal, Wood Ash"
6.2,26,973,Sandy,Potatoes,"Compost, Seaweed Fertilizer, Organic Matter"
6,25,1215,Silty,Potatoes,"Compost, Organic Mulch"
7.1,2,1804,Loamy,Cantaloupe,"Well-rotted Manure, Compost, Mulch"
7.8,22,551,Silty,Cabbage,"Compost, Organic Mulch"
4,16,1391,Sandy,Cucumbers,"Compost, Seaweed Fertilizer, Organic Matter"
3.7,21,1733,Silty,Watermelon,"Compost, Organic Mulch"
8.1,42,1523,Clay,Tomatoes,"Compost, Green Manure, Gypsum"
5.9,12,1157,Peaty,Peppers,"Compost, Bone Meal, Wood Ash"
7.7,16,1023,Peaty,Corn,"Compost, Bone Meal, Wood Ash"
3.5,12,557,Peaty,Sunflowers,"Compost, Bone Meal, Wood Ash"
5.9,-10,1172,Clay,Cucumbers,"Compost, Green Manure, Gypsum"
7.5,24,1428,Clay,Oats,"Compost, Green Manure, Gypsum"
4.8,24,162,Clay,Paddy,"Compost, Green Manure, Gypsum"
8.7,29,908,Silty,Strawberries,"Compost, Organic Mulch"
8.5,40,1482,Clay,Flax,"Compost, Green Manure, Gypsum"
3.7,29,1279,Loamy,Black Pepper,"Well-rotted Manure, Compost, Mulch"
3.6,11,1745,Loamy,Barley,"Well-rotted Manure, Compost, Mulch"
6.5,19,757,Silty,Mustard,"Compost, Organic Mulch"
8.7,28,1451,Silty,Peanuts,"Compost, Organic Mulch"
5.6,-9,1392,Loamy,Peppers,"Well-rotted Manure, Compost, Mulch"
4.7,41,973,Loamy,Wheat,"Well-rotted Manure, Compost, Mulch"
5.8,4,220,Loamy,Strawberries,"Well-rotted Manure, Compost, Mulch"
3.7,30,1610,Loamy,Corn,"Well-rotted Manure, Compost, Mulch"
4.7,1,711,Peaty,Lettuce,"Compost, Bone Meal, Wood Ash"
5.9,25,357,Loamy,Corn,"Well-rotted Manure, Compost, Mulch"
6.2,27,534,Clay,Soybeans,"Compost, Green Manure, Gypsum"
4.8,1,1893,Silty,Peanuts,"Compost, Organic Mulch"
4.8,45,197,Sandy,Potatoes,"Compost, Seaweed Fertilizer, Organic Matter"
4.7,-5,727,Clay,Sorghum,"Compost, Green Manure, Gypsum"
6,41,244,Silty,Peppers,"Compost, Organic Mulch"
5.1,25,1858,Silty,Potatoes,"Compost, Organic Mulch"
3.6,41,256,Peaty,Oats,"Compost, Bone Meal, Wood Ash"
8.1,44,735,Loamy,Watermelon,"Well-rotted Manure, Compost, Mulch"
6.6,42,1978,Peaty,Potatoes,"Compost, Bone Meal, Wood Ash"
7,6,710,Sandy,Spinach,"Compost, Seaweed Fertilizer, Organic Matter"
4.5,-8,1623,Peaty,Chickpeas,"Compost, Bone Meal, Wood Ash"
9,43,424,Sandy,Spinach,"Compost, Seaweed Fertilizer, Organic Matter"
8.2,33,952,Clay,Cabbage,"Compost, Green Manure, Gypsum"
4.2,-6,1256,Clay,Soybeans,"Compost, Green Manure, Gypsum"
5.3,-5,616,Loamy,Cotton,"Well-rotted Manure, Compost, Mulch"
7.5,45,367,Peaty,Lettuce,"Compost, Bone Meal, Wood Ash"
7.4,-9,117,Silty,Sugarcane,"Compost, Organic Mulch"
8.7,18,1248,Silty,Cabbage,"Compost, Organic Mulch"
